"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"Corporate Finance - A Brief Introduction","finance-a-brief-introduction-and-basics-finance-101","False",0,11724,649,17,"Beginner Level",1.5,"2016-03-04","Business Finance"
"Excel functions to analyze and visualize data","basic-excel-functions-to-analyze-large-data","True",20,2283,54,16,"Intermediate Level",2,"2015-04-20","Business Finance"
"Building Financial Statements in Excel","guide-to-building-financial-statements","True",35,1181,1,18,"Beginner Level",1,"2017-06-29","Business Finance"
"Transfer Pricing A Complete Analysis","transfer-pricing-a-complete-analysis","True",50,1852,3,14,"All Levels",2.5,"2016-12-28","Business Finance"
"Accounting: Get Hired Without Work Experience","accounting-get-hired-without-work-experience","True",100,4661,187,20,"All Levels",1,"2014-09-01","Business Finance"
"Forex Trading for Beginners - Basics","complete-forex-trading-for-beginners-in-1-course-basics","True",50,989,9,11,"All Levels",1,"2017-04-24","Business Finance"
"Basic Bookkeeping Hacks","basic-bookkeeping","True",20,5841,16,28,"All Levels",1.5,"2016-06-14","Business Finance"
"Complete Trading Plan Course for Stocks & Forex (10 Hours)","killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf","True",200,1087,14,61,"All Levels",9.5,"2017-03-23","Business Finance"
"Forex Trading with Fixed 'Risk through Options Trading""","forexoptions","True",200,611,4,26,"Beginner Level",1,"2017-06-07","Business Finance"
"Intro to Investment Banking M&A IPO Modeling + Free Book","investment-banking-mergers-ipo-financial-model-business-mba-pro-forma","True",60,1922,149,15,"All Levels",20,"2016-01-21","Business Finance"
"How to Pick The Right Penny Stocks To Invest In 2017","how-to-make-5000month-trading-penny-stocks","True",150,9015,65,23,"All Levels",2.5,"2014-07-01","Business Finance"
"Top 10 Trading Ideas in the Equities Market","top-10-trading-ideas-in-the-equities-market","True",20,661,4,12,"All Levels",1,"2017-05-02","Business Finance"
"Intro to Financial Modeling","intro-to-financial-modeling","True",105,1077,110,55,"Beginner Level",6,"2016-08-19","Business Finance"
"Shark Accounting - Building a Business by the Numbers!","shark-accounting","True",20,6050,140,17,"Beginner Level",1.5,"2014-05-18","Business Finance"
"Forex Trading MAKE YOUR FIRST TRADE TODAY!","trade-forex","True",150,3523,46,45,"All Levels",4,"2016-01-10","Business Finance"
"Accounting in 60 Minutes - A Brief Introduction","accounting-in-60-minutes-a-brief-introduction","False",0,56659,4397,16,"Beginner Level",1.5,"2013-04-07","Business Finance"
"SAP FICO For Beginners - A Guide to SAP Financial Accounts","sap-fico-for-sap-beginners","True",100,1444,101,59,"Beginner Level",5,"2016-07-25","Business Finance"
"Learn how to double your Forex Trading Account in one trade","learn-how-to-double-your-forex-trading-account-in-one-trade","True",60,2900,424,36,"Intermediate Level",2.5,"2014-10-19","Business Finance"
"Accounting Superpowers: Learn Accounts Understand Business!","accounting-basics-for-success-in-business-and-in-life","True",200,1437,96,34,"Beginner Level",2.5,"2016-08-08","Business Finance"
"Python Algo Trading: FX Trading with Oanda","python-algo-trading-fx-trading-with-oanda","True",200,453,42,33,"Intermediate Level",3,"2017-03-14","Business Finance"
"Save on Your Taxes","save-on-your-taxes","True",20,2437,12,23,"All Levels",1.5,"2016-11-16","Business Finance"
"Financial Model Basics: Build a model from start to finish","financial-model-basics-build-a-model-from-start-to-finish","True",30,5057,142,13,"Beginner Level",1,"2015-02-06","Business Finance"
"Option Trading for Rookies: The Covered Call Option Strategy","option-trading-for-rookies-investing-the-profitable-way","True",95,6092,25,29,"Beginner Level",1.5,"2016-11-03","Business Finance"
"EFT for Stock Options Trading Success & Making Better Trades","eft-for-stock-option-trading-success","True",95,4530,13,31,"All Levels",1.5,"2015-08-06","Business Finance"
"Learn to Trade the Stock Market without Blowing Your Profits","learn-to-trade-the-stock-market-without-blowing-your-profits","True",60,6967,16,34,"All Levels",1,"2017-05-02","Business Finance"
"Get a Credit Repair Publication On Amazon and Live LIFE..","get-a-credit-repair-publication-on-amazon-and-live-life","True",20,727,11,25,"Beginner Level",3,"2017-04-26","Business Finance"
"Fundamentals of Accounting","fundamentals-of-accounting","True",20,1560,43,25,"All Levels",3,"2016-08-31","Business Finance"
"RSI Options Trading & Technical Analysis (3 Course Bundle)","charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis","True",200,1047,9,46,"All Levels",3.5,"2017-01-26","Business Finance"
"Basics of Mutual Funds for CA  CMA / CS / CFA Exams","basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/","True",125,1045,2,17,"Intermediate Level",1,"2017-04-24","Business Finance"
"Accounting 101: How to read an Accounting Balance Sheet","financial-statements-101-how-to-read-a-balance-sheet","True",200,3050,86,22,"Beginner Level",2,"2015-01-27","Business Finance"
"Stock Options Day Trading Mindset for Success","stock-options-day-trading-success-mindset","True",200,2988,21,43,"All Levels",4.5,"2015-09-29","Business Finance"
"Introduction to bookkeeping and Accounting","introduction-to-bookkeeping-and-accounting","True",35,2623,158,20,"Beginner Level",1,"2015-08-21","Business Finance"
"Learn to Trade The News","learn-to-trade-the-news","True",200,1924,351,544,"All Levels",46.5,"2015-07-16","Business Finance"
"Value Investing Taught by Six Superinvestors","investing-stars","True",200,3804,267,66,"All Levels",5,"2015-06-19","Business Finance"
